Authors,Article Title,Publication Year,Abstract,Addresses,DOI,"Times Cited, All Databases",Source Title,tak,v_name,v_country
"Runge M.G., Bebbington M.S., Cronin S.J., Lindsay J.M., Moufti M.R.",SENSITIVITY TO VOLCANIC FIELD BOUNDARY,2015,NA,"University of Auckland, Private Bag 92019, Auckland, 1142, New Zealand; Massey University, Palmerston North, New Zealand; King Abdulaziz University, Jeddah, Saudi Arabia",10.1186/s13617-015-0040-z,12,Journal of Applied Volcanology,  SENSITIVITY TO VOLCANIC FIELD BOUNDARY NA AUCKLAND VOLCANIC FIELD HARRAT RAHAT HAZARD FORECASTING PROBABILISTIC ENSEMBLE FORECASTING FIELD MARGIN FORECASTING METHOD PROBABILITY SENSITIVITY ANALYSIS VOLCANIC ERUPTION VOLCANISM AUCKLAND VOLCANIC FIELD AUCKLAND NORTH ISLAND HARRAT RAHAT MADINAH NEW ZEALAND NORTH ISLAND SAUDI ARABIA SAUDI ARABIA  ,Harrat Rahat,Saudi Arabia
"Marrero J.M., García A., Llinares Á., Berrocoso M., Ortiz R.",LEGAL FRAMEWORK AND SCIENTIFIC RESPONSIBILITIES DURING VOLCANIC CRISES THE CASE OF THE EL HIERRO ERUPTION 2011-2014,2015,NA,"Volcanic Hazard and Risk Consultant, Tenerife, Canary Islands, 38410, Spain; Institute of Geosciences, IGEO, CSIC-UCM, J. Gutierrez Abascal, 2, Madrid, 28006, Spain; Laboratorio de Astronomía, Geodesia y Cartografía, Facultad de Ciencias, Universidad de Cádiz, Spain",10.1186/s13617-015-0028-8,7,Journal of Applied Volcanology,  LEGAL FRAMEWORK AND SCIENTIFIC RESPONSIBILITIES DURING VOLCANIC CRISES THE CASE OF THE EL HIERRO ERUPTION 2011 2014 NA EL HIERRO ERUPTION LEGAL FRAMEWORK SCIENTIFIC RESPONSIBILITIES VOLCANIC CRISIS MANAGEMENT CRISIS MANAGEMENT LEGISLATION SPATIOTEMPORAL ANALYSIS VOLCANIC ERUPTION HIERRO  ,Hierro,Spain
"Wilson T., Cole J., Johnston D., Cronin S., Stewart C., Dantas A.",SHORT AND LONG-TERM EVACUATION OF PEOPLE AND LIVESTOCK DURING A VOLCANIC CRISIS LESSONS FROM THE 1991 ERUPTION OF VOLCÁN HUDSON CHILE,2012,NA,"Natural Hazards Research Centre, Geological Sciences, University of Canterbury, Private Bag 4800, Christchurch, New Zealand; Joint Centre for Disaster Management, GNS/Massey University, PO Box 30368, Lower Hutt, New Zealand; Volcanic Risk Solutions, Massey University, Private Bag 11222, Palmerston North, New Zealand; Private consultant, 37 Harland Street, Brooklyn, Wellington, New Zealand",10.1186/2191-5040-1-2,34,Journal of Applied Volcanology,  SHORT AND LONG TERM EVACUATION OF PEOPLE AND LIVESTOCK DURING A VOLCANIC CRISIS LESSONS FROM THE 1991 ERUPTION OF VOLCÁN HUDSON CHILE NA EMERGENCY MANAGEMENT EVACUATION LIVESTOCK VOLCANIC ASH VOLCANIC HAZARDS VOLCÁN HUDSON GRAZING HAZARD ASSESSMENT LIVESTOCK PUBLIC HEALTH RURAL POPULATION VOLCANIC ASH VOLCANIC ERUPTION AISEN MOUNT HUDSON PATAGONIA SOUTHERN VOLCANIC ZONE  ,Hudson,Chile
"Selva J., Acocella V., Bisson M., Caliro S., Costa A., Della Seta M., De Martino P., De Vita S., Federico C., Giordano G., Martino S., Cardaci C.",MULTIPLE NATURAL HAZARDS AT VOLCANIC ISLANDS A REVIEW FOR THE ISCHIA VOLCANO ITALY,2019,NA,"Istituto Nazionale di Geofisica e Vulcanologia, Sezione di Bologna, Bologna, Italy; Dipartimento Scienze, Università di Roma Tre, Rome, Italy; Istituto Nazionale di Geofisica e Vulcanologia, Sezione di Pisa, Pisa, Italy; Istituto Nazionale di Geofisica e Vulcanologia, Osservatorio Vesuviano, Naples, Italy; Dipartimento di Scienze della Terra, Sapienza Università di Roma, Rome, Italy; Istituto Nazionale di Geofisica e Vulcanologia, Sezione di Palermo, Palermo, Italy; Dipartimento della Protezione Civile, Rome, Italy",10.1186/s13617-019-0086-4,18,Journal of Applied Volcanology,  MULTIPLE NATURAL HAZARDS AT VOLCANIC ISLANDS A REVIEW FOR THE ISCHIA VOLCANO ITALY NA CONCEPTUAL MODEL ISCHIA ISLAND MULTI HAZARD RESURGENCE VOLCANIC HAZARDS HAZARD ASSESSMENT NATURAL HAZARD SPATIAL DISTRIBUTION VOLCANIC ERUPTION CAMPANIA ITALY ISCHIA ITALY NAPOLI CAMPANIA  ,Ischia (volcano|volcanic|caldera|maar|maars|seamount),Italy
"Witham C., Barsotti S., Dumont S., Oddsson B., Sigmundsson F.",PRACTISING AN EXPLOSIVE ERUPTION IN ICELAND OUTCOMES FROM A EUROPEAN EXERCISE,2020,NA,"Met Office, FitzRoy Road, Exeter, EX1 3PB, United Kingdom; Icelandic Meteorological Office, Bústaðavegur 7-9, Reykjavík, 108, Iceland; Nordic Volcanological Center, Institute of Earth Sciences, University of Iceland, Sturlugata 7, Reykjavĺk, 101, Iceland; University of Beira Interior, Covilhã, Portugal; Instituto Dom Luiz (IDL), Faculdade de Ciências da Universidade de Lisboa, Lisbon, Portugal; National Commissioner of Icelandic Police, Ríkislögreglustjórinn, Skúlagata 21, Reykjavík, 101, Iceland",10.1186/s13617-019-0091-7,1,Journal of Applied Volcanology,  PRACTISING AN EXPLOSIVE ERUPTION IN ICELAND OUTCOMES FROM A EUROPEAN EXERCISE NA EXERCISE EXPLOSIVE ERUPTIONS HAZARD RESPONSE ICELAND INTERNATIONAL RESPONSE TO VOLCANIC CRISES PRACTICE PREPAREDNESS RISK MANAGEMENT VOLCANO OBSERVATORY EXPLOSIVE VOLCANISM HAZARD ASSESSMENT HAZARD MANAGEMENT OBSERVATORY REAL TIME RISK ASSESSMENT SIMULATION VOLCANIC ERUPTION EYJAFJALLAJOKULL GRIMSVOTN ICELAND KATLA  ,Katla,Iceland
"Williams G.T., Jenkins S.F., Biass S., Wibowo H.E., Harijoko A.",REMOTELY ASSESSING TEPHRA FALL BUILDING DAMAGE AND VULNERABILITY KELUD VOLCANO INDONESIA,2020,NA,"Earth Observatory of Singapore, Nanyang Technological University, 50 Nanyang Ave, Singapore, Singapore; Asian School of the Environment, Nanyang Technological University, 50 Nanyang Ave, Singapore, Singapore; Deparmen Teknik Geologi, Universitas Gadjah Mada, Jalan Grafika 2, Yogyakarta, Indonesia; Center for Disaster Studies, Universitas Gadjah Mada, Jalan Grafika 2, Yogyakarta, Indonesia",10.1186/s13617-020-00100-5,3,Journal of Applied Volcanology,  REMOTELY ASSESSING TEPHRA FALL BUILDING DAMAGE AND VULNERABILITY KELUD VOLCANO INDONESIA BUILDING EXPLOSIVE INTERPOLATION NUMERICAL MODEL REMOTE SENSING RISK ASSESSMENT SATELLITE IMAGERY VOLCANIC ERUPTION VULNERABILITY EAST JAVA GREATER SUNDA ISLANDS JAVA MOUNT KELUD SUNDA ISLES DAMAGE SURVEY KELUD 2014 ERUPTION REMOTE SENSING STRUCTURES VOLCANIC ASH VULNERABILITY FUNCTIONS BUILDING EXPLOSIVE INTERPOLATION NUMERICAL MODEL REMOTE SENSING RISK ASSESSMENT SATELLITE IMAGERY VOLCANIC ERUPTION VULNERABILITY EAST JAVA GREATER SUNDA ISLANDS JAVA MOUNT KELUD SUNDA ISLES  ,Kelut|Kelud,Indonesia
"Patrick M.R., Swanson D., Orr T.",AUTOMATED TRACKING OF LAVA LAKE LEVEL USING THERMAL IMAGES AT KILAUEA VOLCANO HAWAII,2016,NA,"Hawaiian Volcano Observatory-U.S. Geological Survey, Hawai'i National Park, PO Box 51HI  96718, United States",10.1186/s13617-016-0047-0,4,Journal of Applied Volcanology,  AUTOMATED TRACKING OF LAVA LAKE LEVEL USING THERMAL IMAGES AT KILAUEA VOLCANO HAWAII NA IMAGE PROCESSING KILAUEA LAVA LAKE THERMAL CAMERA VOLCANO MONITORING AUTOMATION COMPOSITE CRATER LAKE HAZARD ASSESSMENT IMAGE ANALYSIS IMAGE PROCESSING LAKE LEVEL VOLCANIC ERUPTION HAWAII ISL HAWAIIAN ISLANDS HAWAII UNITED STATES HAWAIIAN ISLANDS KILAUEA  ,K.lauea,USA
"Teasdale R., Van der Hoeven Kraft K., Poland M.P.",USING NEAR-REAL-TIME MONITORING DATA FROM PUU ŌŌ VENT AT KĪLAUEA VOLCANO FOR TRAINING AND EDUCATIONAL PURPOSES,2015,NA,"Geological and Environmental Sciences, California State University, Chico 400 W 1st St, Chico, CA  95929-0205, United States; Geology Faculty Whatcom Community College, 237 W Kellogg Rd., Bellingham, WA  98226, United States; Hawaiian Volcano Observatory USGS, 51 Crater Rim Drive, Hawaii National Park, HI  96718, United States",10.1186/s13617-015-0026-x,2,Journal of Applied Volcanology,  USING NEAR REAL TIME MONITORING DATA FROM PUU ŌŌ VENT AT KĪLAUEA VOLCANO FOR TRAINING AND EDUCATIONAL PURPOSES NA GEOSCIENCE LEARNING HAZARDS TRAINING SELF EFFICACY VOLCANO MONITORING CONFIDENCE INTERVAL DATA INTERPRETATION GPS LEARNING MONITORING SYSTEM REAL TIME STUDENT HAWAII ISL HAWAIIAN ISLANDS HAWAII UNITED STATES HAWAIIAN ISLANDS KILAUEA  ,K.lauea,USA
"Patrick M.R., Orr T., Antolik L., Lee L., Kamibayashi K.",CONTINUOUS MONITORING OF HAWAIIAN VOLCANOES WITH THERMAL CAMERAS,2014,NA,"Hawaiian Volcano Observatory-US Geological Survey, Hawai'i National Park, PO Box 51HI  96718, United States",10.1186/2191-5040-3-1,23,Journal of Applied Volcanology,  CONTINUOUS MONITORING OF HAWAIIAN VOLCANOES WITH THERMAL CAMERAS NA INFRARED KILAUEA MAUNA LOA TEMPERATURE WEBCAMS CALDERA CALIBRATION ENVIRONMENTAL MONITORING HIGH TEMPERATURE INFRARED RADIATION LAVA OBSERVATORY RIFT ZONE TEMPERATURE EFFECT VISUAL ANALYSIS VOLCANIC ERUPTION HAWAII ISL HAWAIIAN ISLANDS HAWAII UNITED STATES HAWAIIAN ISLANDS KILAUEA MAUNA LOA OBSERVATORY  ,K.lauea,USA
"Gouhier M., Paris R.",SO2 AND TEPHRA EMISSIONS DURING THE DECEMBER 22 2018 ANAK KRAKATAU FLANK-COLLAPSE ERUPTION,2019,NA,"Université Clermont Auvergne, CNRS, IRD, OPGC, Laboratoire Magmas et Volcans, Clermont-Ferrand, F-63000, France",10.30909/vol.02.02.91103,17,Volcanica,  SO2 AND TEPHRA EMISSIONS DURING THE DECEMBER 22 2018 ANAK KRAKATAU FLANK COLLAPSE ERUPTION NA COLLAPSE DEGASSING DETECTION METHOD REMOTE SENSING SPATIOTEMPORAL ANALYSIS TEPHRA VOLCANIC ERUPTION ANAK KRAKATAU KRAKATAU LAMPUNG  ,Krakatau,Indonesia
