Authors,Article Title,Publication Year,Abstract,Addresses,DOI,"Times Cited, All Databases",Source Title,tak,v_name,v_country
"Yamada H., Tateyama K., Naruke S., Sasaki H., Torigata S., Honda R., Kubo T., Yoshimoto M., Fujii T.",IMPACT RESISTANCE OF STEEL MATERIALS TO BALLISTIC EJECTA AND SHELTER DEVELOPMENT USING STEEL DECK PLATES,2021,NA,"Department of Mechanical Engineering, National Defense Academy, 1-10-20, Hashirimizu, Yokosuka, Kanagawa  239-8686, Japan; Department of Mechanical Engineering, Ritsumeikan University, 1-1-1 Noji-higashi, Kusatsu, Shiga  525-8577, Japan; Asia Air Survey Co., Ltd., Shinyuri 21 Building, 1-2-2 Manpukuji, Asao-ku, Kawasaki, Kanagawa  215-0004, Japan; Toko Tekko Co., Ltd., 19-1 Inariyamashita, Shakanai, Odate, Akita, 017-0012, Japan; Mount Fuji Research Institute, Yamanashi Prefectural Government, 5597-1 Kenmarubi, Kamiyoshida, Fujiyoshida, Yamanashi, 403-0005, Japan",10.1186/s13617-021-00105-8,NA,Journal of Applied Volcanology,  IMPACT RESISTANCE OF STEEL MATERIALS TO BALLISTIC EJECTA AND SHELTER DEVELOPMENT USING STEEL DECK PLATES ABSORPTION CORROSION DEFORMATION DUCTILITY STEEL STRUCTURE CHUBU HONSHU JAPAN KINKI KUSATSU ONTAKE SHIGA BALLISTIC EJECTA IMPACT IMPACT RESISTANT DESIGN PHREATIC ERUPTION STAINLESS STEEL TRAPEZOIDAL CORRUGATED PLATE ABSORPTION CORROSION DEFORMATION DUCTILITY STEEL STRUCTURE CHUBU HONSHU JAPAN KINKI KUSATSU ONTAKE SHIGA  ,Kusatsu|Kusatsu-Shirane|Kusatsu-Shiranesan,Japan
"Marrero J.M., García A., Berrocoso M., Llinares Á., Rodríguez-Losada A., Ortiz R.",STRATEGIES FOR THE DEVELOPMENT OF VOLCANIC HAZARD MAPS IN MONOGENETIC VOLCANIC FIELDS THE EXAMPLE OF LA PALMA CANARY ISLANDS,2019,NA,"REPENSAR, Camino de Orellana, Quito, Ecuador; Institute IGEO, CSIC-UCM, J. Gutierrez Abascal, 2, Madrid, Spain; Lab. Astronomía, Geodesia y Cartografía, Universidad de Cádiz, Avda. Universidad de Cádiz, Cádiz, Spain; Dpet. Animal Biology, Edaphology and Geology, University of la Laguna, La Laguna, Spain",10.1186/s13617-019-0085-5,3,Journal of Applied Volcanology,  STRATEGIES FOR THE DEVELOPMENT OF VOLCANIC HAZARD MAPS IN MONOGENETIC VOLCANIC FIELDS THE EXAMPLE OF LA PALMA CANARY ISLANDS NA CANARY ISLANDS EXPECTED ERUPTIVE SCENARIO HAZARD ASSESSMENT HAZARD MAP LA PALMA MONOGENETIC VOLCANISM CRISIS MANAGEMENT HAZARD ASSESSMENT SCENARIO ANALYSIS STRATEGIC APPROACH VOLCANIC ERUPTION VOLCANISM CANARY ISLANDS LA PALMA SANTA CRUZ DE TENERIFE PRV CANARY ISLANDS SPAIN  ,La Palma,Spain
"Bonilauri E.M., Harris A.J.L., Morin J., Ripepe M., Mangione D., Lacanna G., Ciolli S., Cusolito M., Deguy P.",TSUNAMI EVACUATION TIMES AND ROUTES TO SAFE ZONES A GIS-BASED APPROACH TO TSUNAMI EVACUATION PLANNING ON THE ISLAND OF STROMBOLI ITALY,2021,NA,"Université Clermont Auvergne, CNRS, IRD, OPGC, Laboratoire Magmas et Volcans, Clermont – Ferrand, France; Department of Geography, University of Cambridge, Cambridge, United Kingdom; Laboratorio di Geofisica Sperimentale, Università degli Studi di Firenze, Florence, Italy; Dipartimento della Protezione Civile, Rome, Italy; Lipari town council, Lipari, Aeolian Islands, Italy; Dipartimento di Scienze della Terra, Università degli Studi di Firenze, Florence, Italy",10.1186/s13617-021-00104-9,NA,Journal of Applied Volcanology,  TSUNAMI EVACUATION TIMES AND ROUTES TO SAFE ZONES A GIS BASED APPROACH TO TSUNAMI EVACUATION PLANNING ON THE ISLAND OF STROMBOLI ITALY COASTAL ZONE CONGESTION GIS RISK ASSESSMENT TSUNAMI VOLCANIC ISLAND ITALY LIPARI ISLANDS MESSINA SICILY SICILY STROMBOLI STROMBOLI EVACUATION MAPS EVACUATION MODELLING STROMBOLI VOLCANIC ISLAND HAZARD VOLCANOGENIC TSUNAMI COASTAL ZONE CONGESTION GIS RISK ASSESSMENT TSUNAMI VOLCANIC ISLAND ITALY LIPARI ISLANDS MESSINA SICILY SICILY STROMBOLI STROMBOLI  ,Lipari,Italy
"Bonadonna C., Frischknecht C., Menoni S., Romerio F., Gregg C.E., Rosi M., Biass S., Asgary A., Pistolesi M., Guobadia D., Gattuso A., Ricciardi A., Cristiani C.",INTEGRATING HAZARD EXPOSURE VULNERABILITY AND RESILIENCE FOR RISK AND EMERGENCY MANAGEMENT IN A VOLCANIC CONTEXT THE ADVISE MODEL,2021,NA,"Department of Earth Sciences, University of Geneva, Geneva, Switzerland; Politecnico di Milano, Architettura e Pianificazione, Milan, Italy; Geneva School of Economics and Management, University of Geneva, Geneva, Switzerland; Institute for Environmental Sciences, Geneva, Switzerland; Department of Geosciences, East Tennessee State University, Johnson City, United States; Dipartimento di Scienze della Terra, Università Pisa, Pisa, Italy; Earth Observatory of Singapore, Nanyang Technological University, Singapore, Singapore; School of Administrative Studies, York University, Toronto, Canada; Istituto Nazionale di Geofisica e Vulcanologia, Sezione Palermo - Sede operativa di Milazzo, Milazzo, Italy; Dipartimento della Protezione Civile, Rome, Italy",10.1186/s13617-021-00108-5,1,Journal of Applied Volcanology,  INTEGRATING HAZARD EXPOSURE VULNERABILITY AND RESILIENCE FOR RISK AND EMERGENCY MANAGEMENT IN A VOLCANIC CONTEXT THE ADVISE MODEL HAZARD ASSESSMENT HAZARD MANAGEMENT INTEGRATED APPROACH MODEL QUANTITATIVE ANALYSIS RISK ASSESSMENT SEASONAL VARIATION VOLCANIC ERUPTION VULNERABILITY ITALY LIPARI ISLANDS MESSINA SICILY SICILY VULCANO TRACHINOTUS FALCATUS EMERGENCY MANAGEMENT FUNCTIONAL VULNERABILITY HAZARD PHYSICAL VULNERABILITY RISK ASSESSMENT RISK MANAGEMENT SYSTEMIC VULNERABILITY VULCANO ISLAND HAZARD ASSESSMENT HAZARD MANAGEMENT INTEGRATED APPROACH MODEL QUANTITATIVE ANALYSIS RISK ASSESSMENT SEASONAL VARIATION VOLCANIC ERUPTION VULNERABILITY ITALY LIPARI ISLANDS MESSINA SICILY SICILY VULCANO TRACHINOTUS FALCATUS  ,Lipari,Italy
"Gattuso A., Bonadonna C., Frischknecht C., Cuomo S., Baumann V., Pistolesi M., Biass S., Arrowsmith J.R., Moscariello M., Rosi M.",LAHAR RISK ASSESSMENT FROM SOURCE IDENTIFICATION TO POTENTIAL IMPACT ANALYSIS THE CASE OF VULCANO ISLAND ITALY,2021,NA,"Istituto Nazionale di Geofisica e Vulcanologia, Sede Operativa di Milazzo, Sezione Palermo, Italy; Department of Earth Sciences, University of Geneva, Rue des Maraîchers 13, Geneva, 1205, Switzerland; Laboratory of Geotechnics, University of Salerno, Via Giovanni Paolo II 132, Fisciano, Salerno  84081, Italy; Institut des sciences de la Terre, University of Lausanne, Bâtiment Géopolis, Lausanne, 1015, Switzerland; Dipartimento di Scienze della Terra, Università di Pisa, Pisa, Italy; Earth Observatory of Singapore, Nanyang Technological University, Singapore, Singapore; School of Earth and Space Exploration, Arizona State University, Tempe, AZ, United States",10.1186/s13617-021-00107-6,NA,Journal of Applied Volcanology,  LAHAR RISK ASSESSMENT FROM SOURCE IDENTIFICATION TO POTENTIAL IMPACT ANALYSIS THE CASE OF VULCANO ISLAND ITALY ENVIRONMENTAL IMPACT ASSESSMENT FALLOUT LAHAR RISK ASSESSMENT SOURCE IDENTIFICATION SPATIAL PLANNING TEPHRA TOPOGRAPHY VOLCANOGENIC DEPOSIT VULNERABILITY ITALY LIPARI ISLANDS MESSINA SICILY SICILY VULCANO INDICATOR INDICATOR DEBRIS FLOW HAZARD LA FOSSA VOLCANO LAHAR RISK SPH VULCANO ISLAND ENVIRONMENTAL IMPACT ASSESSMENT FALLOUT LAHAR RISK ASSESSMENT SOURCE IDENTIFICATION SPATIAL PLANNING TEPHRA TOPOGRAPHY VOLCANOGENIC DEPOSIT VULNERABILITY ITALY LIPARI ISLANDS MESSINA SICILY SICILY VULCANO INDICATOR INDICATOR  ,Lipari,Italy
"Calabrò L., Harris A.J.L., Thouret J.-C.",MEDIA VIEWS OF THE STROMBOLI 2002-2003 ERUPTION AND EVACUATION A CONTENT ANALYSIS TO UNDERSTAND FRAMING OF RISK COMMUNICATION DURING A VOLCANIC CRISIS,2020,NA,"Dipartimento di Scienze Geologiche, Universita' di Roma TRE, Largo S. Leonardo Murialdo 1, Rome, 00146, Italy; Université Clermont Auvergne, CNRS, IRD, OPGC, Laboratoire Magmas et Volcans, Clermont-Ferrand, F-63000, France",10.1186/s13617-020-00094-0,1,Journal of Applied Volcanology,  MEDIA VIEWS OF THE STROMBOLI 2002 2003 ERUPTION AND EVACUATION A CONTENT ANALYSIS TO UNDERSTAND FRAMING OF RISK COMMUNICATION DURING A VOLCANIC CRISIS COASTAL ZONE COMMUNICATION CRISIS MANAGEMENT DISASTER MANAGEMENT LANDSLIDE RISK ASSESSMENT TSUNAMI VOLCANIC ERUPTION CAMEROON ITALY LIPARI ISLANDS MESSINA SICILY SICILY SOUTH REGION STROMBOLI FRAME NEWSPAPER REPORTING RISK TSUNAMI VOLCANIC ERUPTION COASTAL ZONE COMMUNICATION CRISIS MANAGEMENT DISASTER MANAGEMENT LANDSLIDE RISK ASSESSMENT TSUNAMI VOLCANIC ERUPTION CAMEROON ITALY LIPARI ISLANDS MESSINA SICILY SICILY SOUTH REGION STROMBOLI  ,Lipari,Italy
"Lamb O.D., Lees J.M., Marin L.F., Lazo J., Rivera A., Shore M.J., Lee S.J.",INVESTIGATING POTENTIAL ICEQUAKES AT LLAIMA VOLCANO CHILE,2020,NA,"Department of Geological Sciences, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; OVDAS-Sernageomin, Chilean Geological Survey, Chile; Department of Physical Sciences, University of La Frontera, Temuco, Chile; Departamento de Geografía, Universidad de Chile, Chile; U.S. Army Research Laboratory/Army Research Office, Research Triangle Park, NC, United States",10.30909/vol.03.01.2942,1,Volcanica,  INVESTIGATING POTENTIAL ICEQUAKES AT LLAIMA VOLCANO CHILE NA CRYOSEISMOLOGY LLAIMA VOLCANO MONITORING REPETITIVE VOLCANO SEISMOLOGY GLACIER ICE CORE ICE COVER SEISMIC DATA STICK SLIP SUBMARINE VOLCANO VOLCANO ARAUCANIA CHILE LLAIMA SOUTHERN VOLCANIC ZONE  ,Llaima,Chile
"Blong R., Enright N., Grasso P.",PRESERVATION OF THIN TEPHRA,2017,NA,"Risk Frontiers, Macquarie University, Sydney, NSW  2009, Australia; School of Veterinary and Life Sciences, Murdoch University, 90 South St, Murdoch, WA  6150, Australia; Ashbury, NSW  2193, Australia",10.1186/s13617-017-0059-4,17,Journal of Applied Volcanology,  PRESERVATION OF THIN TEPHRA NA COMPACTION EROSION FAUNA PRESERVATION SAMPLE SIZE TEPHRA FALL THICKNESS VEGETATION BULK DENSITY COMPACTION DEPOSITION FAUNA GRASSLAND ISOPACH MAP PRESERVATION SOIL EROSION TEPHRA VEGETATION COVER ALASKA CASCADE RANGE GERMANY HAGEN KODIAK ISLAND LONG ISLAND MOUNT RAINIER NEW GUINEA NORTH RHINE WESTPHALIA NOVARUPTA PAPUA NEW GUINEA UNITED STATES WASHINGTON UNITED STATES WASHINGTON UNITED STATES  ,Long Island,Papua New Guinea
Van Manen S.M.,PERCEPTION OF A CHRONIC VOLCANIC HAZARD PERSISTENT DEGASSING AT MASAYA VOLCANO NICARAGUA,2014,NA,"Environment, Earth and Ecosystems, The Open University, Milton Keynes, MK7 6AA, United Kingdom",10.1186/s13617-014-0009-3,8,Journal of Applied Volcanology,  PERCEPTION OF A CHRONIC VOLCANIC HAZARD PERSISTENT DEGASSING AT MASAYA VOLCANO NICARAGUA NA DISASTER RISK MANAGEMENT EXPOSURE HAZARD MITIGATION SO2 DISASTER MANAGEMENT DISEASE PREVALENCE PERCEPTION RESPIRATORY DISEASE RISK ASSESSMENT SULFUR DIOXIDE VOLCANO MASAYA NICARAGUA  ,Masaya,Nicaragua
"Espinoza E., Saballos J.A., Navarro M., Tenorio V., Olivares T., Ibarra M., Chavarría D., Matus D., Mendoza E.",NICARAGUAN VOLCANIC MONITORING PROGRAM OF THE INSTITUTO NICARAGÜENSE DE ESTUDIOS TERRITORIALES,2021,NA,"INETER, Instituto Nicaragüense de Estudios Territoriales, Frente a Hospital Solidaridad, Av. Xolotlán, Managua, Nicaragua",10.30909/vol.04.S1.163181,1,Volcanica,  NICARAGUAN VOLCANIC MONITORING PROGRAM OF THE INSTITUTO NICARAGÜENSE DE ESTUDIOS TERRITORIALES NA GEOPHYSICS LAVA FLOW MODERNIZATION MONITORING SYSTEM SATELLITE ALTIMETRY VOLCANIC ERUPTION VOLCANO VOLCANOLOGY MASAYA MASAYA VOLCANO NICARAGUA VARANIDAE  ,Masaya,Nicaragua
"González G.C., Rymer H., Zurek J., Ebmeier S.K., Blake S., Williams-Jones G.",STRUCTURES CONTROLLING VOLCANIC ACTIVITY WITHIN MASAYA CALDERA NICARAGUA,2019,NA,"School of Environment Earth and Ecosystem Sciences, The Open University, Milton Keynes, MK7 6AA, United Kingdom; GeoArc Foundation, Monte Esquinza 28, Madrid, 28010, Spain; Centre for Natural Hazards Research, Department of Earth Sciences, Simon Fraser University, Burnaby, BC  V5A 1S6, Canada; School of Earth and Environment, University of Leeds, Leeds, LS2 9JT, United Kingdom",10.30909/vol.02.01.2544,1,Volcanica,  STRUCTURES CONTROLLING VOLCANIC ACTIVITY WITHIN MASAYA CALDERA NICARAGUA NA CALDERA INSAR MAGNETICS MASAYA VOLCANO RING FRACTURE STRUCTURE VLF CALDERA FRACTURE GEOPHYSICAL METHOD MAGMA CHAMBER SPATIAL RESOLUTION MANAGUA NICARAGUA MASAYA NICARAGUA  ,Masaya,Nicaragua
"Patrick M.R., Orr T., Antolik L., Lee L., Kamibayashi K.",CONTINUOUS MONITORING OF HAWAIIAN VOLCANOES WITH THERMAL CAMERAS,2014,NA,"Hawaiian Volcano Observatory-US Geological Survey, Hawai'i National Park, PO Box 51HI  96718, United States",10.1186/2191-5040-3-1,23,Journal of Applied Volcanology,  CONTINUOUS MONITORING OF HAWAIIAN VOLCANOES WITH THERMAL CAMERAS NA INFRARED KILAUEA MAUNA LOA TEMPERATURE WEBCAMS CALDERA CALIBRATION ENVIRONMENTAL MONITORING HIGH TEMPERATURE INFRARED RADIATION LAVA OBSERVATORY RIFT ZONE TEMPERATURE EFFECT VISUAL ANALYSIS VOLCANIC ERUPTION HAWAII ISL HAWAIIAN ISLANDS HAWAII UNITED STATES HAWAIIAN ISLANDS KILAUEA MAUNA LOA OBSERVATORY  ,Mauna Loa,USA
"Martinez-Villegas M.M., Solidum R.U., Jr., Saludadez J.A., Pidlaoan A.C., Lamela R.C.",MOVING FOR SAFETY A QUALITATIVE ANALYSIS OF AFFECTED COMMUNITIES’ EVACUATION RESPONSE DURING THE 2014 MAYON VOLCANO ERUPTION,2021,NA,"Philippine Institute of Volcanology and Seismology-Department of Science and Technology (DOST-PHIVOLCS), Quezon City, Philippines; University of the Philippines- Open University (UPOU), Los Banos, Laguna, Philippines",10.1186/s13617-021-00109-4,NA,Journal of Applied Volcanology,  MOVING FOR SAFETY A QUALITATIVE ANALYSIS OF AFFECTED COMMUNITIES’ EVACUATION RESPONSE DURING THE 2014 MAYON VOLCANO ERUPTION DETECTION METHOD EXPLOSIVE VOLCANISM QUALITATIVE ANALYSIS VOLCANIC ERUPTION VOLCANO ALBAY LUZON MAYON VOLCANO PHILIPPINES EVACUATION RESPONSE EXPERIENTIAL KNOWLEDGE NARRATIVE ANALYSIS QUALITATIVE ANALYSIS VOLCANO ALERT LEVELS DETECTION METHOD EXPLOSIVE VOLCANISM QUALITATIVE ANALYSIS VOLCANIC ERUPTION VOLCANO ALBAY LUZON MAYON VOLCANO PHILIPPINES  ,Mayon,Philippines
"Kueppers U., Cimarelli C., Hess K.-U., Taddeucci J., Wadsworth F.B., Dingwell D.B.",THE THERMAL STABILITY OF EYJAFJALLAJÖKULL ASH VERSUS TURBINE INGESTION TEST SANDS,2014,NA,"Earth and Environmental Sciences, Ludwig-Maximilians-Universität München, Theresienstr. 41, Munich, 80333, Germany; Istituto Nazionale di Geofisica e Vulcanologia, Via di Vigna Murata 605, Roma, 00143, Italy",10.1186/2191-5040-3-4,51,Journal of Applied Volcanology,  THE THERMAL STABILITY OF EYJAFJALLAJÖKULL ASH VERSUS TURBINE INGESTION TEST SANDS NA AIR TRAFFIC CLOSURE GLASS INGESTION TESTS REMELTING SINTERING THERMAL STABILITY VOLCANIC ASH VOLCANIC ASH DETECTION CALIBRATION CALORIMETRY DETECTION METHOD GLASS MELTING THERMOGRAVIMETRY TURBINE VOLCANIC ASH VOLCANIC ERUPTION ETHIOPIA ICELAND NABRO  ,Nabro,Eritrea
"Vasconez F., Ramón P., Hernandez S., Hidalgo S., Bernard B., Ruiz M., Alvarado A., Femina P.L., Ruiz G.",THE DIFFERENT CHARACTERISTICS OF THE RECENT ERUPTIONS OF FERNANDINA AND SIERRA NEGRA VOLCANOES GALÁPAGOS ECUADOR,2018,NA,"Instituto Geofísico, Escuela Politécnica Nacional, Quito, Ecuador; The Pennsylvania State University, Pennsylvania, United States; Universidad Central del Ecuador, Quito, Ecuador",10.30909/vol.01.02.127133,9,Volcanica,  THE DIFFERENT CHARACTERISTICS OF THE RECENT ERUPTIONS OF FERNANDINA AND SIERRA NEGRA VOLCANOES GALÁPAGOS ECUADOR NA   ,Sierra.Negra,Ecuador
"Blong R., Enright N., Grasso P.",PRESERVATION OF THIN TEPHRA,2017,NA,"Risk Frontiers, Macquarie University, Sydney, NSW  2009, Australia; School of Veterinary and Life Sciences, Murdoch University, 90 South St, Murdoch, WA  6150, Australia; Ashbury, NSW  2193, Australia",10.1186/s13617-017-0059-4,17,Journal of Applied Volcanology,  PRESERVATION OF THIN TEPHRA NA COMPACTION EROSION FAUNA PRESERVATION SAMPLE SIZE TEPHRA FALL THICKNESS VEGETATION BULK DENSITY COMPACTION DEPOSITION FAUNA GRASSLAND ISOPACH MAP PRESERVATION SOIL EROSION TEPHRA VEGETATION COVER ALASKA CASCADE RANGE GERMANY HAGEN KODIAK ISLAND LONG ISLAND MOUNT RAINIER NEW GUINEA NORTH RHINE WESTPHALIA NOVARUPTA PAPUA NEW GUINEA UNITED STATES WASHINGTON UNITED STATES WASHINGTON UNITED STATES  ,Novarupta,USA
"Morrison A.A., Whittington A.G., Smets B., Kervyn M., Sehlke A.",THE RHEOLOGY OF CRYSTALLIZING BASALTIC LAVAS FROM NYIRAGONGO AND NYAMURAGIRA VOLCANOES DRC,2020,NA,"Department of Geological Sciences, University of Texas San Antonio, San Antonio, TX  78249, United States; Department of Geological Sciences, University of Missouri, Columbia, MO  65211, United States; Department of Earth Sciences, Royal Museum for Central Africa, Tervuren, 3080, Belgium; ESO Research asbl, Antheit, Belgium; Department of Geography Earth System Science, Vrije Universiteit Brussel, Pleinlaan 2, Brussels, 1050, Belgium; NASA Ames Research Center, Bay Area Environmental Research Institute, Moffett Field, CA  94035, United States",10.30909/vol.03.01.0128,8,Volcanica,  THE RHEOLOGY OF CRYSTALLIZING BASALTIC LAVAS FROM NYIRAGONGO AND NYAMURAGIRA VOLCANOES DRC NA GOMA LAVA FLOWS NYAMURAGIRA NYIRAGONGO RHEOLOGY VISCOSITY COOLING CYLINDER EXPLOSIVE VOLCANISM FLUID COMPOSITION LAVA FLOW RHEOLOGY RISK ASSESSMENT VILLAGE VOLCANO DEMOCRATIC REPUBLIC CONGO DEMOCRATIC REPUBLIC CONGO GOMA NORD KIVU NYAMURAGIRA NYIRAGONGO  ,Nyamu.agira,DR Congo
"Morrison A.A., Whittington A.G., Smets B., Kervyn M., Sehlke A.",THE RHEOLOGY OF CRYSTALLIZING BASALTIC LAVAS FROM NYIRAGONGO AND NYAMURAGIRA VOLCANOES DRC,2020,NA,"Department of Geological Sciences, University of Texas San Antonio, San Antonio, TX  78249, United States; Department of Geological Sciences, University of Missouri, Columbia, MO  65211, United States; Department of Earth Sciences, Royal Museum for Central Africa, Tervuren, 3080, Belgium; ESO Research asbl, Antheit, Belgium; Department of Geography Earth System Science, Vrije Universiteit Brussel, Pleinlaan 2, Brussels, 1050, Belgium; NASA Ames Research Center, Bay Area Environmental Research Institute, Moffett Field, CA  94035, United States",10.30909/vol.03.01.0128,8,Volcanica,  THE RHEOLOGY OF CRYSTALLIZING BASALTIC LAVAS FROM NYIRAGONGO AND NYAMURAGIRA VOLCANOES DRC NA GOMA LAVA FLOWS NYAMURAGIRA NYIRAGONGO RHEOLOGY VISCOSITY COOLING CYLINDER EXPLOSIVE VOLCANISM FLUID COMPOSITION LAVA FLOW RHEOLOGY RISK ASSESSMENT VILLAGE VOLCANO DEMOCRATIC REPUBLIC CONGO DEMOCRATIC REPUBLIC CONGO GOMA NORD KIVU NYAMURAGIRA NYIRAGONGO  ,Nyiragongo,DR Congo
"Yamada H., Tateyama K., Naruke S., Sasaki H., Torigata S., Honda R., Kubo T., Yoshimoto M., Fujii T.",IMPACT RESISTANCE OF STEEL MATERIALS TO BALLISTIC EJECTA AND SHELTER DEVELOPMENT USING STEEL DECK PLATES,2021,NA,"Department of Mechanical Engineering, National Defense Academy, 1-10-20, Hashirimizu, Yokosuka, Kanagawa  239-8686, Japan; Department of Mechanical Engineering, Ritsumeikan University, 1-1-1 Noji-higashi, Kusatsu, Shiga  525-8577, Japan; Asia Air Survey Co., Ltd., Shinyuri 21 Building, 1-2-2 Manpukuji, Asao-ku, Kawasaki, Kanagawa  215-0004, Japan; Toko Tekko Co., Ltd., 19-1 Inariyamashita, Shakanai, Odate, Akita, 017-0012, Japan; Mount Fuji Research Institute, Yamanashi Prefectural Government, 5597-1 Kenmarubi, Kamiyoshida, Fujiyoshida, Yamanashi, 403-0005, Japan",10.1186/s13617-021-00105-8,NA,Journal of Applied Volcanology,  IMPACT RESISTANCE OF STEEL MATERIALS TO BALLISTIC EJECTA AND SHELTER DEVELOPMENT USING STEEL DECK PLATES ABSORPTION CORROSION DEFORMATION DUCTILITY STEEL STRUCTURE CHUBU HONSHU JAPAN KINKI KUSATSU ONTAKE SHIGA BALLISTIC EJECTA IMPACT IMPACT RESISTANT DESIGN PHREATIC ERUPTION STAINLESS STEEL TRAPEZOIDAL CORRUGATED PLATE ABSORPTION CORROSION DEFORMATION DUCTILITY STEEL STRUCTURE CHUBU HONSHU JAPAN KINKI KUSATSU ONTAKE SHIGA  ,Ontake|Ontakesan,Japan
"Espinasa-Pereña R., Arámbula R., Ramos S., Sieron K., Capra L., Hernández-Oscoy A., Alatorre M., Montiel F.C.",MONITORING VOLCANOES IN MEXICO,2021,NA,"Centro Nacional de Prevención de Desastres, Mexico, Mexico; Centro Universitario de Estudios en Vulcanología, Universidad de Colima, Colima, Mexico; Centro de Monitoreo Vulcanológico y Sismológico de Chiapas, Universidad de Ciencias y Artes de Chiapas, Tuxtla Gutiérrez, Mexico; Observatorio Sismológico y Vulcanológico, Universidad Veracruzana, Veracruz, Mexico; Centro de Geociencias, campus Juriquilla, UNAM, Querétaro, Mexico; Instituto de Geología, UNAM, Mexico",10.30909/vol.04.S1.223246,1,Volcanica,  MONITORING VOLCANOES IN MEXICO NA HAZARD MANAGEMENT INFORMATION MONITORING OBSERVATORY RISK VOLCANO AZORES CENTRO COLIMA MEXICO MEXICO NORTH AMERICA PICO PICO DE ORIZABA PICO DE ORIZABA PORTUGAL VERACRUZ VARANIDAE  ,Pico de Orizaba,Mexico
"Mangler M.F., Prytulak J., Gisbert G., Delgado-Granados H., Petrone C.M.",INTERPLINIAN EFFUSIVE ACTIVITY AT POPOCATÉPETL VOLCANO MEXICO NEW INSIGHTS INTO EVOLUTION AND DYNAMICS OF THE PLUMBING SYSTEM,2019,NA,"Department of Earth Sciences, The Natural History Museum, Cromwell Road, London, SW7 5BD, United Kingdom; Department of Earth Science and Engineering, Imperial College London, London, SW7 2AZ, United Kingdom; School of Environmental Sciences, University of East Anglia, Norwich, NR4 7JT, United Kingdom; Department of Earth Sciences, Durham University, Durham, DH1 3LE, United Kingdom; Insitituto de Geofísica, Universidad Autónoma de México, Ciudad Universitaria, México, D.F., 04510, Mexico; Instituto de Geociencias, CSIC, Universidad Complutense de Madrid, C/Dr. Severo Ochoa 7, Madrid, 28040, Spain",10.30909/vol.02.01.4572,5,Volcanica,  INTERPLINIAN EFFUSIVE ACTIVITY AT POPOCATÉPETL VOLCANO MEXICO NEW INSIGHTS INTO EVOLUTION AND DYNAMICS OF THE PLUMBING SYSTEM NA ARC VOLCANISM CRUSTAL ASSIMILATION EFFUSIVE EXPLOSVE TRANSITION ERUPTIVE HISTORY GEOCHEMICAL EVOLUTION MAGMA MIXING GEOCHEMISTRY MAGMA MANTLE SOURCE PHREATOMAGMATISM SUBMARINE VOLCANO TRACE ELEMENT UPPER CRUST VOLCANIC ERUPTION VOLCANO MEXICO NORTH AMERICA  ,Pop.cat.petl,Mexico
"Craig H., Wilson T., Stewart C., Outes V., Villarosa G., Baxter P.",IMPACTS TO AGRICULTURE AND CRITICAL INFRASTRUCTURE IN ARGENTINA AFTER ASHFALL FROM THE 2011 ERUPTION OF THE CORDÓN CAULLE VOLCANIC COMPLEX AN ASSESSMENT OF PUBLISHED DAMAGE AND FUNCTION THRESHOLDS,2016,NA,"Department of Geological Sciences, University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; Joint Centre for Disaster Research, Massey University, Wellington Campus, P.O. Box 756, Wellington, New Zealand; INIBIOMA, CONICET, Universidad Nacional del Comahue, Quintral 1250, Buenos Aires, CP 8400, Argentina; Institute of Public Health, University of Cambridge, Cambridge, CB2 2SR, United Kingdom",10.1186/s13617-016-0046-1,26,Journal of Applied Volcanology,  IMPACTS TO AGRICULTURE AND CRITICAL INFRASTRUCTURE IN ARGENTINA AFTER ASHFALL FROM THE 2011 ERUPTION OF THE CORDÓN CAULLE VOLCANIC COMPLEX AN ASSESSMENT OF PUBLISHED DAMAGE AND FUNCTION THRESHOLDS NA AGRICULTURE ASHFALL ASHFALL IMPACTS INFRASTRUCTURE PUYEHUE CORDÓN CAULLE VOLCANIC ASH ENVIRONMENTAL CONDITIONS THRESHOLD VOLCANIC ASH VOLCANIC ERUPTION VULNERABILITY ARGENTINA CHILE  ,Puyehue.Cord.n Caulle|Cord.n Caulle,Chile
